SBS1	SBS5	SBS18	SBS2	SBS13
Ohutsuoli1_1_15.0967_T_151110_K00110_0033_BH2VJYBBXX	0.151490533102724	0.712507534602021	0	0	0
Ohutsuoli2_1_15.0966TP_T_160129_K00110_0062_AH55TWBBXX	0.0789174005523197	0.92108259944768	0	0	0
Ohutsuoli4_1_16.0161_T_160408_K00110_0069_BH57LFBBXX	0.210986753753346	0.789013246246654	0	0	0
Ohutsuoli9_1_15.1064TP_T_160129_K00110_0062_AH55TWBBXX	0.103339430120865	0.812242088788247	0.0844184810908884	0	0
Ohutsuoli16_1_15.1090_T_160519_K00110_0075_AH5WW2BBXX	0.170236975567399	0.679367213917173	0.150395810515428	0	0
Ohutsuoli18_1_15.1028_T_151110_K00110_0033_BH2VJYBBXX	0.123590958603303	0.736651019418342	0	0	0
Ohutsuoli19_1_16.0391_T_160617_K00110_0079_BH72WNBBXX	0.0739619723885904	0.763506205453118	0	0.047074922871511	0.0545250569893254
Ohutsuoli21_1_15.1091_T_160519_K00110_0075_AH5WW2BBXX	0.0173090773840432	0.206386938846719	0.776303983769238	0	0
Ohutsuoli26_1_15.1065TP_T_160129_K00110_0062_AH55TWBBXX	0.0920301191656176	0.79754380863421	0.110426072200172	0	0
Ohutsuoli29_1_15.0971_T_151110_K00110_0033_BH2VJYBBXX	0.138465600373536	0.526451915598152	0.180208755685153	0.0856682565908375	0.0692054717523217
Ohutsuoli30_1_15.1066TP_T_160129_K00110_0062_AH55TWBBXX	0.110295270297423	0.889704729702577	0	0	0
Ohutsuoli35_1_15.1067TP_T_160129_K00110_0062_AH55TWBBXX	0.213676563936358	0.598865019504417	0.187458416559225	0	0
Ohutsuoli37_1_15.1093_T_160519_K00110_0075_AH5WW2BBXX	0.259123331337294	0.740876668662706	0	0	0
Ohutsuoli38_1_16.0162_T_160519_K00110_0075_AH5WW2BBXX	0.1104630131825	0.697661617245035	0	0.0598285534114699	0.132046816160995
Ohutsuoli40_1_15.1094_T_160519_K00110_0075_AH5WW2BBXX	0.236112093784087	0.763887906215913	0	0	0
Ohutsuoli43_1_16.0163_T_160519_K00110_0075_AH5WW2BBXX	0.191563314263206	0.693304953955936	0	0	0
Ohutsuoli44_1_16.0538TP_T_160901_K00110_0097_AHF2NLBBXX	0.101150114186889	0.763065730160236	0.135784155652874	0	0
Ohutsuoli45_1_15.1070TP_T_160129_K00110_0062_AH55TWBBXX	0.115673874002913	0.778411027180538	0	0.0396706300710172	0.0662444687455325
Ohutsuoli50_1_15.1095_T_160519_K00110_0075_AH5WW2BBXX	0.147990828106786	0.852009171893214	0	0	0
Ohutsuoli56_1_15.0975_T_151110_K00110_0033_BH2VJYBBXX	0.16779902839224	0.727368743841153	0.104832227766607	0	0
Ohutsuoli62_1_15.1071_T_160519_K00110_0075_AH5WW2BBXX	0.0525858105976617	0.844796951637054	0	0.032093137057987	0.0705241007072975
Ohutsuoli70_1_16.0539TP_T_160901_K00110_0098_BHCM72BBXX	0.108299130766774	0.891700869233226	0	0	0
Ohutsuoli72_1_15.0969_T_151110_K00110_0033_BH2VJYBBXX	0.125141005256052	0.708057856125825	0	0.0848805923387105	0.0819205462794121
Ohutsuoli74_1_15.1096_T_160408_K00110_0069_BH57LFBBXX	0.123211789722777	0.658936838768737	0.11584787281514	0	0
Ohutsuoli76_1_15.1097_T_160519_K00110_0075_AH5WW2BBXX	0.2126398641851	0.644017495803882	0.143342640011018	0	0
Ohutsuoli80_1_15.1029_T_151110_K00110_0033_BH2VJYBBXX	0.0134917447070814	0.433920562432076	0	0	0
Ohutsuoli82_1_16.0540TP_T_160901_K00110_0097_AHF2NLBBXX	0.117920364939033	0.824210898734005	0	0	0
Ohutsuoli83_1_16.0569_T_160901_K00110_0098_BHCM72BBXX	0.0914707237486415	0.908529276251358	0	0	0
Ohutsuoli95_1_16.0021_T_160408_K00110_0069_BH57LFBBXX	0.167107814381065	0.537909545944677	0	0.0409147218019096	0.0788589764360071
Ohutsuoli110_1_16.0166_T_160408_K00110_0069_BH57LFBBXX	0.130076938450688	0.869923061549312	0	0	0
Ohutsuoli114_1_16.0168_T_160408_K00110_0069_BH57LFBBXX	0.12260002288899	0.714041501846773	0.103638977108098	0	0
Ohutsuoli115_1_15.1030_T_151110_K00110_0033_BH2VJYBBXX	0.143515709675994	0.663766859996864	0.192717430327142	0	0
Ohutsuoli117_1_15.1031_T_151110_K00110_0033_BH2VJYBBXX	0.134506992872452	0.520644087236154	0.156217076508481	0.0453994595798808	0.143232383803033
Ohutsuoli118_1_16.1007TP_T_161201_SN653_0401_AC9PTMACXX	0.129799011653998	0.619294499144832	0	0.0909454018916996	0.0743305854959739
