SBS1 SBS5 SBS18 SBS2 SBS13 SBS88 SBS35 SBS40 SBS41 SBS17b all_rtCa_toGT all_rtca all_CtoGT all_c rtCa_enrich all_ytCa_toGT all_ytca ytCa_enrich all_tCa_toGT all_tca tca_enrich all_tCw_toGT all_tcw tcw_enrich
PD28690_36 1000.33462481915 1066.43563557553 335.229739605325 0 0 0 0 0 0 0 21 1397 1533 42782 0.41950951647856 26 2014 0.360273907824615 47 3519 0.372732720909156 107 7318 0.408047105074888
PD28690_9 1072.44716898999 1218.58007005175 367.972760958263 0 0 0 0 0 0 0 11 1488 1697 47574 0.207241906970555 35 2224 0.441185354603765 46 3805 0.33891516063363 105 8181 0.359807931294013
PD28690_17 1656.10646250377 2011.05532993418 818.838207562053 0 0 0 0 0 0 0 80 2552 2804 79541 0.889246888681194 105 3872 0.769249084100635 185 6603 0.794773665538705 360 13973 0.730846007987893
PD28690_37 1353.89732766711 1425.92377255739 332.940521438334 0 0 0 232.23837833716 0 0 0 29 1890 2123 59642 0.431060668366368 53 2658 0.560174193070484 82 4673 0.492969755701644 167 10109 0.464098835644839
PD28690_8 1122.64099244382 1112.10380255474 347.581573759335 172.493545528437 134.18008571367 0 0 0 0 0 52 1753 1935 51794 0.793998918059996 106 2426 1.16953588493304 158 4290 0.985821482565669 308 8994 0.916634747598025
PD28690_5 1299.20530969611 1479.75424338466 441.560984860955 156.510720314588 85.9687417436831 0 0 0 0 0 50 2014 2202 61512 0.693510548774383 99 2924 0.945802286442744 149 5080 0.819341758029565 279 10700 0.728388296111437
PD28690_19 1286.42574754076 1737.24772300835 433.326529450894 0 0 0 0 0 0 0 33 1964 2196 61524 0.4707438816734 43 2832 0.425390154672594 76 4934 0.431545582010406 155 10490 0.413969588523027
PD28690_15 154.760834248155 184.964845128284 49.354155124598 0 0 0 56.9201654989624 0 0 0 1 239 269 7932 0.123376522374827 9 374 0.709579945530088 10 632 0.466566279233918 26 1346 0.569585222910234
PD28690_14 1332.23581487739 1637.83926644231 483.924918680299 0 0 0 0 0 0 0 29 1926 2180 60978 0.421170939438109 48 2843 0.472259888281858 77 4906 0.43901550993541 173 10495 0.461084308386256
PD28690_21 1366.02761585929 1752.2816240474 456.690760093307 0 0 0 0 0 0 0 43 2046 2310 62732 0.570742193616094 81 2951 0.745406135714506 124 5145 0.654505740453262 247 10867 0.617254749177083
PD28690_2 1068.53930836481 1177.09947795343 365.361213681756 0 0 0 0 0 0 0 22 1465 1682 46984 0.419477868456615 59 2167 0.760531307631992 81 3748 0.603683676874991 176 7955 0.618011391365372
PD28690_18 1216.99331368632 1452.27512023778 382.731566075901 0 0 0 0 0 0 0 23 1738 1935 54392 0.37199073454593 35 2582 0.381035873479085 58 4430 0.368025851459103 134 9355 0.402638282945046
PD28690_20 1516.14391593188 1362.13085743593 524.557847610819 357.24944392721 423.917935094162 0 0 0 0 0 101 2551 2841 73565 1.02520548429083 270 3800 1.83984049352526 371 6524 1.4725157979494 693 13541 1.32520327992884
PD28690_39 613.380342492416 763.828873048355 143.790784459229 0 0 0 0 0 0 0 13 856 1007 27081 0.408417943554001 20 1230 0.437280499915228 33 2140 0.414701296531754 79 4672 0.45473615343282
PD28690_10 305.964286310214 268.990721743053 109.014935866917 0 0 0 122.030056079815 0 0 0 5 415 477 14365 0.362834987749741 8 698 0.345161077171673 13 1151 0.340138098854883 41 2420 0.510217960046433
PD28690_1 1119.23471113889 1476.85263912208 440.912649739024 0 0 0 0 0 0 0 26 1726 1917 54208 0.425964913553248 44 2621 0.474708411277079 70 4473 0.442527651855607 152 9616 0.446982381129694
PD28690_3 709.144147571899 719.132251075337 185.037885395985 60.8768986941421 57.808817262636 0 0 0 0 0 24 940 1158 31841 0.702039466431485 51 1486 0.943690332568567 75 2494 0.826880887186242 140 5153 0.747043742984535
PD28690_4 1297.81112604178 1709.55856345515 592.630310503066 0 0 0 0 0 0 0 22 2168 2189 63782 0.295675795953939 45 3006 0.43619020524506 67 5317 0.367164356327777 165 11087 0.433632943285925
PD28690_6 1313.94244091899 1701.10541736761 492.952141713395 0 0 0 0 0 0 0 40 2092 2182 60968 0.534251208830112 76 2936 0.723277147431175 116 5165 0.627530538960411 231 10734 0.601308843789755
