parent,node,branch.length,label,isTip,x,y,branch,angle
14,1,229,PD41851d_lo0003,TRUE,253,6,138.5,196.363636363636
14,2,178,PD41851d_lo0004,TRUE,202,7,113,229.090909090909
15,3,188,PD41851d_lo0005,TRUE,191,8,97,261.818181818182
16,4,267,PD41851d_lo0040,TRUE,271,9,137.5,294.545454545455
17,5,232,PD41851d_lo0041,TRUE,242,10,126,327.272727272727
17,6,244,PD41851d_lo0043,TRUE,254,11,132,360
18,7,220,PD41851d_lo0034,TRUE,225,1,115,32.7272727272727
21,8,177,PD41851d_lo0035,TRUE,183,4,94.5,130.909090909091
21,9,243,PD41851d_lo0036,TRUE,249,5,127.5,163.636363636364
20,10,1,PD41851d_lo0092,TRUE,7,3,6.5,98.1818181818182
19,11,204,PD41851d_lo0042,TRUE,210,2,108,65.4545454545455
12,12,0,,FALSE,0,4.8125,0,157.5
12,13,3,100,FALSE,3,7.6875,1.5,251.590909090909
13,14,21,100,FALSE,24,6.5,13.5,212.727272727273
13,15,0,94,FALSE,3,8.875,3,290.454545454545
15,16,1,100,FALSE,4,9.75,3.5,319.090909090909
16,17,6,100,FALSE,10,10.5,7,343.636363636364
12,18,5,99,FALSE,5,1.9375,2.5,63.4090909090909
18,19,1,80,FALSE,6,2.875,5.5,94.0909090909091
19,20,0,100,FALSE,6,3.75,6,122.727272727273
20,21,0,100,FALSE,6,4.5,6,147.272727272727
