parent,node,branch.length,label,isTip,x,y,branch,angle
10,1,1078,PD43949b_lo0021,TRUE,1124,4,585,205.714285714286
10,2,1089,PD43949b_lo0022,TRUE,1135,5,590.5,257.142857142857
11,3,865,PD43949b_lo0023,TRUE,1080,6,647.5,308.571428571429
11,4,781,PD43949b_lo0024,TRUE,996,7,605.5,360
12,5,1076,PD43949b_lo0026,TRUE,1142,1,604,51.4285714285714
13,6,432,PD43949b_lo0027,TRUE,911,2,695,102.857142857143
13,7,451,PD43949b_lo0028,TRUE,930,3,704.5,154.285714285714
8,8,0,,FALSE,0,3.625,0,186.428571428571
8,9,29,100,FALSE,29,5.5,14.5,282.857142857143
9,10,17,100,FALSE,46,4.5,37.5,231.428571428571
9,11,186,100,FALSE,215,6.5,122,334.285714285714
8,12,66,100,FALSE,66,1.75,33,90
12,13,413,100,FALSE,479,2.5,272.5,128.571428571429
