parent,node,branch.length,label,isTip,x,y,branch,angle
9,1,3515,PD45776b_lo0001,TRUE,3522,3,1764.5,180
10,2,2935,PD45776b_lo0004,TRUE,2945,4,1477.5,240
11,3,3549,PD45776b_lo0007,TRUE,3561,5,1786.5,300
11,4,3143,PD45776b_lo0008,TRUE,3155,6,1583.5,360
8,5,3546,PD45776b_lo0002,TRUE,3550,2,1777,120
7,6,3534,PD45776b_lo0009,TRUE,3534,1,1767,60
7,7,0,,FALSE,0,1.96875,0,118.125
7,8,4,100,FALSE,4,2.9375,2,176.25
8,9,3,98,FALSE,7,3.875,5.5,232.5
9,10,3,76,FALSE,10,4.75,8.5,285
10,11,2,90,FALSE,12,5.5,11,330
