SBS1	SBS5	SBS18	SBS2	SBS13	SBS88	SBS35	SBS40	SBS41	SBS17b
PD28690_36	0.416459044470919	0.443978199656755	0.139562755872325	0	0	0	0	0	0	0
PD28690_9	0.403327254227148	0.458285095920177	0.138387649852675	0	0	0	0	0	0	0
PD28690_17	0.369172194048991	0.448295882731649	0.182531923219361	0	0	0	0	0	0	0
PD28690_37	0.404752564324997	0.426285133798921	0.0995337881728952	0	0	0	0.0694285137031868	0	0	0
PD28690_8	0.388591551555494	0.384944203030369	0.120312071221646	0.0597070077980052	0.0464451663944861	0	0	0	0	0
PD28690_5	0.375167574269741	0.427304141895658	0.127508225486848	0.0451951257044723	0.0248249326432813	0	0	0	0	0
PD28690_19	0.372121998131547	0.502530437665128	0.125347564203325	0	0	0	0	0	0	0
PD28690_15	0.346997386206626	0.414719383695705	0.110659540638112	0	0	0	0.127623689459557	0	0	0
PD28690_14	0.385708110850431	0.474186238113003	0.140105651036566	0	0	0	0	0	0	0
PD28690_21	0.382105626813788	0.490148706027246	0.127745667158967	0	0	0	0	0	0	0
PD28690_2	0.40924523491567	0.450823239354052	0.139931525730278	0	0	0	0	0	0	0
PD28690_18	0.398752724012555	0.475843748439639	0.125403527547805	0	0	0	0	0	0	0
PD28690_20	0.362367092717945	0.325557088297306	0.125372334515014	0.0853846663305951	0.10131881813914	0	0	0	0	0
PD28690_39	0.403274386911516	0.502188608184323	0.0945370049041611	0	0	0	0	0	0	0
PD28690_10	0.379608295670241	0.333735386777982	0.13525426286218	0	0	0	0.151402054689597	0	0	0
PD28690_1	0.36853299675301	0.486286677353337	0.145180325893653	0	0	0	0	0	0	0
PD28690_3	0.409436574810565	0.415203378219017	0.106834806810615	0.0351483248811444	0.0333769152786582	0	0	0	0	0
PD28690_4	0.360503090567161	0.474877378737543	0.164619530695296	0	0	0	0	0	0	0
PD28690_6	0.374555997981469	0.48492172672965	0.140522275288881	0	0	0	0	0	0	0
PD28690_11	0.404326970215442	0.299584822157671	0.0919009155269261	0	0	0	0.204187292099961	0	0	0
