SBS1	SBS5	SBS18	SBS2	SBS13	SBS88	SBS35	SBS40	SBS41	SBS17b
PD28690bp_SB1_A9	0.368023447522506	0.4873048521901	0.144671700287394	0	0	0	0	0	0	0
PD28690bp_SB1_H8	0.408447832607534	0.452236868774753	0.139315298617713	0	0	0	0	0	0	0
PD28690bp_SB1_G8	0.4083210818103	0.416445894998714	0.106463145174696	0.0359004429461834	0.032869435070107	0	0	0	0	0
PD28690bt_SB2_F10	0.363653547088171	0.473152333967926	0.163194118943903	0	0	0	0	0	0	0
PD28690bt_SB2_H10	0.378223552111323	0.426230624749489	0.126541977893951	0.0445978283848207	0.0244060168604153	0	0	0	0	0
PD28690bp_SB1_D8	0.374544239151836	0.484876306985829	0.140579453862335	0	0	0	0	0	0	0
PD28690bp_SB1_G9	0.380198161684349	0.398663761324279	0.140704867461062	0	0	0	0.0804332095303093	0	0	0
PD28690bt_SB2_C11	0.390159911869498	0.384826031310482	0.11975822711472	0.0589734396961423	0.0462823900091569	0	0	0	0	0
PD28690bt_SB2_E11	0.404991285154806	0.457379197409179	0.137629517436015	0	0	0	0	0	0	0
PD28690bt_SB2_F11	0.410042324028239	0.403022763160684	0.134707534512177	0	0	0	0.0522273782989007	0	0	0
PD28690bt_SB2_G11	0.414575226768427	0.442402081172894	0.14302269205868	0	0	0	0	0	0	0
PD28690bt_SB3_E5	0.405751851958655	0.424900703658644	0.100992734773641	0	0	0	0.0683547096090598	0	0	0
PD28690bt_SB3_F5	0.405773917659424	0.425937336647524	0.0990591486310748	0	0	0	0.0692295970619773	0	0	0
PD28690bt_SB2_A11	0.386910622783734	0.473474936477789	0.139614440738477	0	0	0	0	0	0	0
PD28690bt_SB3_B5	0.390355373522205	0.503044221757158	0.106600404720636	0	0	0	0	0	0	0
PD28690bt_SB3_C5	0.405815697526842	0.48152799783029	0.112656304642868	0	0	0	0	0	0	0
PD28690bp_SB1_H9	0.369336080930231	0.44810270966044	0.182561209409329	0	0	0	0	0	0	0
PD28690bt_SB2_G10	0.39906596938048	0.475637348026097	0.125296682593423	0	0	0	0	0	0	0
PD28690bp_SB1_E9	0.372112035514479	0.502488619780825	0.125399344704696	0	0	0	0	0	0	0
PD28690bp_SB1_B8	0.362496871331288	0.326518581425478	0.124842910947182	0.0850785876997021	0.10106304859635	0	0	0	0	0
PD28690bp_SB1_B9	0.38227021687919	0.490513674123009	0.127216108997801	0	0	0	0	0	0	0
PD34200a_i21	0.386667974807703	0.502525817486507	0.11080620770579	0	0	0	0	0	0	0
PD34200a_i33	0.379373157650856	0.495542735374349	0.125084106974795	0	0	0	0	0	0	0
PD34200a_i36	0.389347762018248	0.487841132397901	0.122811105583851	0	0	0	0	0	0	0
PD34200a_i54	0.37293655312678	0.524688251696426	0.102375195176794	0	0	0	0	0	0	0
PD34200a_i22	0.385085717817079	0.511949987615048	0.102964294567873	0	0	0	0	0	0	0
PD37266c_lo0010	0.327602877689544	0.526982849692992	0.0760754626480095	0	0	0.069338809969455	0	0	0	0
PD37266c_lo0012	0.337214403336863	0.532847902326181	0.129937694336956	0	0	0	0	0	0	0
PD37266c_lo0014	0.299645892189259	0.700354107810741	0	0	0	0	0	0	0	0
PD37266c_lo0016	0.333262461152904	0.516604940642324	0.0975110273368435	0	0	0.0526215708679287	0	0	0	0
PD37266c_lo0023	0.402941127987558	0.512345687947145	0.0847131840652962	0	0	0	0	0	0	0
PD37266c_lo0018	0.316792063356189	0.543486303954868	0.0882314010657356	0	0	0.0514902316232076	0	0	0	0
PD37449f_lo0002	0.361838753000978	0.451372523635264	0.131435628316624	0	0	0	0	0	0.0553530950471341	0
PD37449f_lo0010	0.361104914620361	0.434817815689313	0.116559978569584	0	0	0.087517291120742	0	0	0	0
PD37449f_lo0023	0.38406367113039	0.382573723855446	0.1576040740958	0	0	0.0757585309183647	0	0	0	0
PD37449f_lo0016	0.391213507478721	0.372897263221166	0.183631156627391	0	0	0.0522580726727218	0	0	0	0
PD37449f_lo0022	0.333671434829288	0.486379669864321	0.117506402895185	0	0	0.0624424924112059	0	0	0	0
PD37449f_lo0011	0.424191343675811	0.424713939501971	0.151094716822218	0	0	0	0	0	0	0
PD37449f_lo0006	0.295091658911334	0.404580043912219	0.134272445851317	0.0706058270099322	0.0954500243151978	0	0	0	0	0
PD37449f_lo0019	0.367463712973093	0.495134781382662	0.137401505644245	0	0	0	0	0	0	0
PD37449f_lo0008	0.351101660550985	0.284050451957574	0.117833310247478	0	0	0.0743003643931829	0	0.17271421285078	0	0
PD37449f_lo0017	0.38616323269018	0.498884434554916	0.114952332754904	0	0	0	0	0	0	0
PD41851d_lo0003	0.332658519754843	0.536155847747828	0.131185632497329	0	0	0	0	0	0	0
PD41851d_lo0004	0.316148260805127	0.463143505810898	0.136572513434817	0.0491272325295264	0.0350084874196313	0	0	0	0	0
PD41851d_lo0005	0.280313450081834	0.425155976923338	0.0842730340275151	0.0982889958434846	0.111968543123828	0	0	0	0	0
PD41851d_lo0040	0.353600346570847	0.536406890178309	0.109992763250844	0	0	0	0	0	0	0
PD41851d_lo0041	0.354475657612097	0.52072886212595	0.124795480261953	0	0	0	0	0	0	0
PD41851d_lo0043	0.331991047077984	0.407344876499514	0.133732763895618	0.0642340616678025	0.0626972508590818	0	0	0	0	0
PD41851d_lo0034	0.323895831243115	0.453582629377813	0.13892340730475	0.0470219566014176	0.0365761754729042	0	0	0	0	0
PD41851d_lo0035	0.321654825644712	0.460178113569841	0.131428953810246	0.0486732998588614	0.0380648071163385	0	0	0	0	0
PD41851d_lo0036	0.315585034645913	0.406250625526744	0.135974430480697	0.0760299565922706	0.0661599527543749	0	0	0	0	0
PD41851d_lo0092	0.335089468135936	0.447173514009439	0.137226139224393	0.0398233771008038	0.0406875015294276	0	0	0	0	0
PD41851d_lo0042	0.291144657981174	0.40941043459608	0.102817627826333	0.0895243121304299	0.107102967465982	0	0	0	0	0
PD41852c_lo0001	0.328577307518914	0.548473772143156	0.12294892033793	0	0	0	0	0	0	0
PD41852c_lo0010	0.353136111344925	0.452189004977906	0.144459247438174	0.0289419306958797	0.0212737055431147	0	0	0	0	0
PD41852c_lo0011	0.348844132043485	0.467919216530719	0.120577218119433	0.0386593786080804	0.0240000546982827	0	0	0	0	0
PD41852c_lo0009	0.363655749242173	0.455037041498541	0.111765916011688	0.0364627004090349	0.0330785928385631	0	0	0	0	0
PD41852c_lo0002	0.383168263500908	0.512048904035528	0.104782832463564	0	0	0	0	0	0	0
PD41852c_lo0003	0.378066669754628	0.461644857536099	0.0969718165874396	0.0372864777015568	0.0260301784202761	0	0	0	0	0
PD41852c_lo0004	0.397478896806781	0.501958590090646	0.100562513102573	0	0	0	0	0	0	0
PD41852c_lo0005	0.390473359563814	0.476666023766036	0.13286061667015	0	0	0	0	0	0	0
PD41852c_lo0015	0.374182583524796	0.460435439404348	0.108091613677932	0.0301776990986326	0.0271126642942922	0	0	0	0	0
PD41852c_lo0016	0.400950869160336	0.478871563780436	0.120177567059228	0	0	0	0	0	0	0
PD41852c_lo0017	0.390273724545031	0.490861813999498	0.118864461455471	0	0	0	0	0	0	0
PD41853c_lo0012	0.429837413494468	0.484630863103136	0.0855317234023953	0	0	0	0	0	0	0
PD41853c_lo0013	0.440174276215131	0.465866581066306	0.0939591427185632	0	0	0	0	0	0	0
PD41853c_lo0021	0.370449114206624	0.564757346776963	0.0647935390164126	0	0	0	0	0	0	0
PD41853c_lo0019	0.405466497596571	0.531318041280082	0.0632154611233474	0	0	0	0	0	0	0
PD41853c_lo0039	0.396025791974632	0.526325242024705	0.0776489660006635	0	0	0	0	0	0	0
PD41853c_lo0022	0.462445450490855	0.432212985067003	0.105341564442142	0	0	0	0	0	0	0
PD41853c_lo0023	0.373884693379363	0.409418734068589	0.0802672963379857	0.0711758687568139	0.0652534074572476	0	0	0	0	0
PD41853c_lo0020	0.413984912007518	0.506489909722417	0.0795251782700651	0	0	0	0	0	0	0
PD41853c_lo0033	0.343778170358654	0.575519231829414	0.0807025978119318	0	0	0	0	0	0	0
PD41853c_lo0034	0.377777553071207	0.54245489461077	0.0797675523180224	0	0	0	0	0	0	0
PD41853c_lo0038	0.411787814768733	0.519478437707535	0.0687337475237326	0	0	0	0	0	0	0
PD42833b_lo0016	0.367101846549225	0.438576565538851	0.194321587911924	0	0	0	0	0	0	0
PD42833b_lo0022	0.347685250319879	0.446750386057824	0.205564363622297	0	0	0	0	0	0	0
PD42833b_lo0020	0.353761271820831	0.46022207780968	0.186016650369489	0	0	0	0	0	0	0
PD42833b_lo0021	0.365032526172828	0.460260299527199	0.174707174299973	0	0	0	0	0	0	0
PD42833b_lo0024	0.370191506220031	0.443656379550334	0.186152114229634	0	0	0	0	0	0	0
PD42833b_lo0023	0.392575151953708	0.425597849244748	0.181826998801544	0	0	0	0	0	0	0
PD42834b_lo0018	0.33033710135728	0.461857888619191	0.207805010023529	0	0	0	0	0	0	0
PD42834b_lo0020	0.302130295878218	0.554330348171868	0.143539355949915	0	0	0	0	0	0	0
PD42834b_lo0021	0.338137182086547	0.460886014174581	0.200976803738872	0	0	0	0	0	0	0
PD42834b_lo0022	0.306275190204955	0.52567236082868	0.168052448966365	0	0	0	0	0	0	0
PD42834b_lo0023	0.316699024651806	0.480637045268508	0.202663930079686	0	0	0	0	0	0	0
PD42834b_lo0024	0.293957068184513	0.503114793818963	0.202928137996524	0	0	0	0	0	0	0
PD42834b_lo0019	0.305724738773642	0.552875393474334	0.141399867752024	0	0	0	0	0	0	0
PD42835b_lo0015	0.329387879980111	0.469918782088554	0.131697206116087	0.0314716977180832	0.0375244340971656	0	0	0	0	0
