Signature1 Signature2 Signature3 Signature4 Signature5 Signature6 Signature7 Signature8 Signature9
SBS1 0.538877402845736 0 0 0 0 0 0 0 0
SBS13 0 0 0 0.588725530704636 0 0 0 0 0
SBS17b 0 0 0 0 0 0 0 0 1
SBS18 0.102214175382406 0 1 0 0 0.130389270614471 0.137886777081539 0 0
SBS2 0 0 0 0.411274469295364 0 0 0 0 0
SBS35 0 0 0 0 0 0.666090815320183 0 0 0
SBS40 0 0 0 0 0.508239102306428 0 0 0 0
SBS41 0 0 0 0 0 0 0.403052365608825 0 0
SBS5 0.358908421771857 1 0 0 0.491760897693572 0.203519914065346 0.459060857309636 0 0
SBS88 0 0 0 0 0 0 0 1 0
